"Source","Target"
"Portnoy, Ethel","Biesheuvel, Maarten"
"Marissing, Lidy Van","Hart, Maarten 't"
"Robberechts, Daniel","Hart, Maarten 't"
"Vogelaar, Jacq Firmin","Hart, Maarten 't"
"Kooiman, Dirk Ayelt","Jong, Oek De"
"Marissing, Lidy Van","Kooiman, Dirk Ayelt"
"Vogelaar, Jacq Firmin","Kooiman, Dirk Ayelt"
"Luijters, Guus","Hiddema, Arie B."
"Matsier, Nicolaas","Luijters, Guus"
"Meijsing, Doeschka","Luijters, Guus"
"Matsier, Nicolaas","Hart, Maarten 't"
"Meijsing, Doeschka","Joyce & Co"
"Meinkema, Hannes","Marissing, Lidy Van"
"Meinkema, Hannes","Matsier, Nicolaas"
"Robberechts, Daniel","Meinkema, Hannes"
"Vogelaar, Jacq Firmin","Meinkema, Hannes"
"Peeters, Carel","Vervoort, Hans"
"Vogelaar, Jacq Firmin","Meijsing, Doeschka"
"Vogelaar, Jacq Firmin","Siebelink, Jan Geurt"
"Moor, W.A.M. De","Donkers, Jan"
"Moor, W.A.M. De","Hotz, F.B."
"Moor, W.A.M. De","Matsier, Nicolaas"
"Moor, W.A.M. De","Meijsing, Doeschka"
"Moor, W.A.M. De","Meinkema, Hannes"
"Moor, W.A.M. De","Siebelink, Jan Geurt"
"Fens, Kees","Moor, W.A.M. De"
"Deel, Tom Van","Andriesse, Peter"
"Deel, Tom Van","Heeresma, Heere"
"Deel, Tom Van","Hotz, F.B."
"Deel, Tom Van","Matsier, Nicolaas"
"Deel, Tom Van","Plomp, Hans"
"Nuis, Aad","Andriesse, Peter"
"Nuis, Aad","Hart, Maarten 't"
"Nuis, Aad","Hotz, F.B."
"Nuis, Aad","Marissing, Lidy Van"
"Nuis, Aad","Matsier, Nicolaas"
"Nuis, Aad","Meinkema, Hannes"
"Nuis, Aad","Meulenbelt, Anja"
"Nuis, Aad","Plomp, Hans"
"Nuis, Aad","Robberechts, Daniel"
"Nuis, Aad","Vogelaar, Jacq Firmin"
"Peeters, Carel","Meijsing, Doeschka"
"Fens, Kees","Hart, Maarten 't"
"Fens, Kees","Hotz, F.B."
"Fens, Kees","Matsier, Nicolaas"
"Fens, Kees","Meijsing, Doeschka"
"Fens, Kees","Meinkema, Hannes"
"Mulder, Reinjan P.","Hart, Maarten 't"
"Mulder, Reinjan P.","Heeresma, Heere"
"Mulder, Reinjan P.","Hotz, F.B."
"Mulder, Reinjan P.","Meijsing, Doeschka"
"Mulder, Reinjan P.","Meinkema, Hannes"
"Sitniakowsky, I.","Meinkema, Hannes"
"Huisman, J.","Donkers, Jan"
"Huisman, J.","Siebelink, Jan Geurt"
"Huisman, J.","Sijtsma, Bernard J."
"Spaan, Henk","Biesheuvel, Maarten"
"Spaan, Henk","Meinkema, Hannes"
"Mertens, Anthony","Marissing, Lidy Van"
"Mertens, Anthony","Meinkema, Hannes"
"Mertens, Anthony","Robberechts, Daniel"
"Mertens, Anthony","Vogelaar, Jacq Firmin"
"Sanders, Wim","Donkers, Jan"
"Komrij, Gerrit","Andriesse, Peter"
"Komrij, Gerrit","Hotz, F.B."
"Komrij, Gerrit","Matsier, Nicolaas"
"Mulder, Reinjan P.","Jong, Oek De"
"Kooiman, Dirk Ayelt","Donkers, Jan"
"Spaan, Henk","Hotz, F.B."
"Kooiman, Dirk Ayelt","Donkers, Jan"
"Mulder, Reinjan P.","Siebelink, Jan Geurt"
"Sanders, Wim","Heeresma, Heere"
"Deel, Tom Van","Vogelaar, Jacq Firmin"
"Sanders, Wim","Vervoort, Hans"
"Mulder, Reinjan P.","Andriesse, Peter"
"Deel, Tom Van","Meijsing, Doeschka"
"Deel, Tom Van","Meinkema, Hannes"
"Deel, Tom Van","Marissing, Lidy Van"
"Deel, Tom Van","Robberechts, Daniel"
"Sitniakowsky, I.","Matsier, Nicolaas"
"Peeters, Carel","Kooiman, Dirk Ayelt"
